company_id,name,reason_bucket,reason,priority_tier,priority_score,industry,signal_count,signal_types
1055,Yum Brands Battles Rival Restaurants,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,3,news
1056,Discuss Restaurant,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,1,news
1065,Top Robotics Stocks,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,3,automation_interest
1067,Empty Midway Why,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,1,news
1069,Great America,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,2,news
1071,Overlooked Toll Of,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,2,expansion
1075,Fast Facts,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,6,news
1076,McKinsey Technology,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,2,news
1079,Sri Lanka,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Media & Publishing,8,"expansion,news"
1080,Common Challenges,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,4,news
1088,Heathrow Airport Embraces,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,2,automation_interest
1091,Sponsor Oracle Hospitality Summit,fast_junk,junk pattern: (?i)^sponsor\s+\w,COLD,0.0,Healthcare,4,"automation_interest,expansion,strategic_hire"
1094,Hotels - Travel Agent Central,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,1,expansion
1095,Fleet Management Software,buyer_opportunity_gate,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Media & Publishing,6,news
1099,Chinese Humanoid,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Automotive & Manufacturing,2,automation_interest
1101,MercadoLibre Stock NASDAQ MELI News,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Automotive & Manufacturing,1,strategic_hire
1103,Intuitive Surgical,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Medical Technology,10,"automation_interest,news"
1109,Featuring Analysis,buyer_opportunity_gate,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Unknown,1,automation_interest
